,企業名,給与
0,株式会社一条工務店 | 戸建注文住宅の販売棟数No.1★コロナ禍でも受注数2019年比110％,月給21万7500円〜（営業手当一律2万4500円含む）＋インセンティブ ※試用期間3ヶ月、待遇同じ ※別途諸…
1,東建コーポレーション株式会社 | エリア勤務でも高収入、地元で安心できる生活を手に入れよう！,"月給26万3,000円以上＋諸手当＋業績連動成果給＋賞与 ※上記月給に固定残業代【47時間分（6万9,000円以…"
2,株式会社アキュラホーム | 大手企業の安定基盤／コロナ禍問わず、急成長中！,"【月給】250,000円〜376,000円＋報奨金(100万円以上も可能)＋各種手当 ※月30時間分の見込み残業手当（6…"
3,東建コーポレーション株式会社 | ＊年齢に関わらず『まだまだやれる』そんな職場環境があります＊,"月給26万3,000円以上＋諸手当＋業績連動成果給＋賞与 ※上記月給に固定残業代【47時間分（6万9,000円以…"
4,東建コーポレーション株式会社 | ＼若手限定求人／ 20代で年収100万円以上UPの先輩多数！,"月給26万3,000円以上＋諸手当＋業績連動成果給＋賞与 ※上記月給に固定残業代【47時間分（6万9,000円以…"
5,UTコンストラクション株式会社 | 【東証一部上場企業グループ】6月・7月入社歓迎！,月給23万円〜30万円＋各種手当 ☆未経験者の平均月収は29.2万円！ ☆経験者の平均月収は36万円！ ※別…
6,株式会社インヴァランス | IoTを取り入れたマンションを展開★高インセンティブ制度有,月給：26万円 ＋ インセンティブ ※経験・能力・スキル等を考慮の上、当社規定により決定します。 ※固…
7,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー★,[経験者(管理職候補)] 月給45〜60万円＋手当 例)基本給60万＋資格手当2万＝月収62万円 年収744万円＋賞与…
8,株式会社あったかハウスナビ | #大阪府緊急雇用対策に賛同#高いインセンティブ還元率が魅力,◆月給17万7千円〜＋残業代100％＋インセンティブ+賞与年2回 ※経験・スキルを考慮の上、決定します。 ※…
9,株式会社ドリームホーム | 京都屈指の業績・2019年度グループ売上高170億円！,"月給／22万5,000円以上 ※試用期間2ヵ月。(その間の給与変動なし) ※経験・年齢を考慮の上、当社規定によ…"
10,株式会社マツイコーポレーション | 【未経験でも月給25万円以上！】大阪府緊急雇用対策に賛同,◆未経験／月給25万円〜＋賞与 ◆経験者／月給35万円〜50万円＋賞与 ※経験・能力等を考慮の上、当社規…
11,エーアイアールグループ合同募集 | ★中途採用者活躍中 ★平均年齢29歳 ★残業少なめ ★研修充実,"【各社共通】 月給24万5,000円~月給40万円 ＋ インセンティブ ＋ 賞与 ＋ 諸手当 ※経験やスキルに応じ…"
12,株式会社あおぞら不動産管理 | 年収1000万円以上も可能！土日祝休み！年休126日！業績好調！,月給25万円以上＋インセンティブ ※実績に応じて、入社半年後に給与見直しの希望をうかがい、面談を設け…
13,株式会社グローバル・アーキテクト | コロナ禍でも業績絶好調◎さらなる成長を目指した増員募集です！,◆月給：28万円〜50万円＋各種手当＋賞与年2回 ※経験・年齢・スキルを考慮の上、当社規定により決定い…
14,泉北ホーム株式会社 | コロナ禍でも業績好調＆過去最高実績！半年以内に3店舗出店予定,月給：25万円〜38万円＋インセンティブ（高率歩合給） ※社用車貸与（自家用車持ち込みの場合は、基本給…
15,株式会社日商エステム | 日商エステムグループの中核企業｜年収1000万円超の社員多数,月給30万円〜（一律手当含む） + 各種手当 + 賞与年2回 ※経験・能力・適性などを考慮のうえ、優遇いた…
16,京成不動産株式会社 | 東証1部上場・京成電鉄グループ企業/完休2日/残業月30h以内,【1】月給25万〜38万円＋賞与年2回＋諸手当 ※年齢・経験・スキルを考慮し、加給・優遇します。 ※残業代…
17,東建コーポレーション株式会社 | ◎平均年収819万円　◎全国採用実施中（自宅近くの拠点を考慮）,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…"
18,UTコンストラクション株式会社 | 大手グループ・安定基盤／年休120日以上・土日休み,月給23万円〜30万円＋各種手当 ☆未経験者の平均月収は29.2万円！ ☆経験者の平均月収は36万円！ ※別…
19,株式会社オープンハウス | 東証一部上場◆20代の管理職率76％◆年4回昇給&昇格のチャンス有,"月給30万円以上＋賞与年2回 ★年収1,000万円突破率は入社3年で30％、5年で60％！ ※経験・スキルを考慮…"
20,UTコンストラクション株式会社 | ★大手グループの安定基盤★土日祝休み,月給23万円〜30万円＋各種手当 ☆未経験者の平均月収は29.2万円！ ☆経験者の平均月収は36万円！ ※別…
21,株式会社栄商 | 【U・Iターン歓迎】引越し費用会社負担 & 住宅費用補助あり,"月給／314,000円〜453,000円 ＋ 完工手当など ※経験・スキルを考慮の上、当社規定により優遇します。 …"
22,東京ビッグハウス株式会社 | 【TOKYO BIG HOUSE/東証一部上場ケイアイスター不動産グループ】,月給:30万円以上＋賞与年2回（6月・12月）※営業成績・顧客満足度等により算出 ※経験・年齢・能力など…
23,株式会社ガリレオコーポレーション | 『TVCMでお馴染み』の地場密着企業！昇給チャンスは年3回！！,月給25万円以上 ★平均月収80万円！ ※経験・年齢・能力を考慮の上、優遇します。 ※試用期間1〜3ヶ月…
24,株式会社岸田 | 宮崎県内外で案件増加中 ／ 東京・大阪など”全国”を舞台に活躍,月給23万円〜40万円 + 諸手当 ＜モデル月収例＞ 月収30万円／入社1年目／未経験スタート 月収35万円／入…
25,株式会社アーキ・ジャパン | 平均月収53万円(施工管理・技術職)【大阪府緊急雇用対策に賛同】,◆月給45万1040円〜 ※一律支給の手当、40時間分の固定残業代 9万円〜を含む ※超過分は別途支給します。…
26,中国化工建設株式会社 | 【東証一部上場「ショーボンドホールディングス」グループ】,"月給：21万4,000円以上＋諸手当 ※年齢、経験、能力を考慮の上、優遇いたします ※試用期間6ヶ月（待遇…"
27,UTコンストラクション株式会社 | 大阪府緊急雇用対策に賛同・東証一部上場グループ,月給23万円〜30万円＋各種手当 ☆未経験者の平均月収は29.2万円！ ☆経験者の平均月収は36万円！ ※別…
28,日本eリモデル株式会社 | 勤続1年以上の平均月収59万3000円【大阪府緊急雇用対策に賛同】,[1]月給19万500円〜24万3500円※勤務地により異なる （固定残業代5万3000円〜6万7500円／53h含。超過分別…
29,株式会社ワールドコーポレーション | 安定基盤・難しい仕事はありません！,"■関東 月給226,000円以上＋各種手当＋賞与年2回 (固定残業手当32,000円/20H分を含む) ■関西/中四国 月…"
30,株式会社ワールドコーポレーション,"■月給226,000円以上＋各種手当＋賞与年2回 (固定残業手当32,000円/20H分を含む) ※上記固定残業代いず…"
31,株式会社ワールドコーポレーション | 大阪府緊急雇用対策に賛同,"■関東 月給226,000円以上＋各種手当＋賞与年2回 (固定残業手当32,000円/20H分を含む) ■関西/中四国 月…"
32,創建プランニング株式会社 | 頑張った分だけ収入アップ◎社員に還元する嬉しい体制を完備！,月給20万円〜 ＋ インセンティブ + 手当 ◎このほかに定期的な賞金制度など、成果に応じて給与がプラスさ…
33,株式会社メディオテクノ | #月8～10日休(完全週休2日)#若手活躍中#退職者は3年間ゼロ,"■月給26万円〜31万円(一律各種手当含む)＋稼動インセンティブ ※試用期間中(3ヶ月) 月給25万9,500円(イ…"
34,益三建設株式会社 | ＜設立50年！地域に愛された会社＞＊UIターン歓迎＊住宅手当あり,"月給 212,500円 〜 417,000円＋賞与年2回（昨年度実績3カ月分） ※スキル・経験を考慮の上、当社規定に…"
35,株式会社リロパートナーズ | 【リログループ】※(株)トキオランディックスへの出向です。,"月給251,000円以上＋賞与年2回＋報奨金 ※経験・年齢を考慮の上、 　当社規定に基づき決定します。 ※給…"
36,株式会社アキュラホーム,【固定月給】23万〜40.8万円 ※月30時間分の見込み残業手当（5万円〜7万5000円）含む 　超過分は別途支…
37,株式会社アキュラホーム | 「グッドデザイン賞」9年連続受賞,"【月給】470,000〜630,000円 ※試用期間：3ヶ月（処遇に変動はありません） ※給与は、経験・能力を総合…"
38,株式会社アサンテ | <東証一部上場>★創業50年&国内売上No.1の安定基盤★未経験OK,"■月給21万円〜25万円＋業績給＋賞与年2回（基本給4ヵ月分） ※固定残業代（30時間分・3万9,400円〜）含…"
39,有限会社グリーンアンドハウス | ★【無垢スタイル建築設計】のグループ会社として安定経営,月給25万円〜65万円＋評価給 ※前給・経験・実績・能力等を考慮の上、優遇いたします 。 ※研修期間3ヶ月…
40,株式会社建築資料研究社 | 資格系スクール「日建学院」を運営【大阪府緊急雇用対策に賛同】,"月給27万7,000円〜（一律営業手当含む）＋インセンティブ＋各種手当（車両持込手当など） ※固定残業代…"
41,株式会社モリシン電気設備 | 週休2日／皆勤・家族手当など完備【大阪府緊急雇用対策に賛同】,月給30万円〜＋諸手当＋賞与年2回 ★前職給与を保証！★ 「給与が下がるかもしれないし、 　転職するの…
42,株式会社優誠 | 【大阪府緊急雇用対策に賛同】ノルマなし＆成約率は50％以上！,"月給23万5,000円〜35万円＋インセンティブ＋諸手当＋賞与 ※年齢・経験・スキルを考慮の上、当社規定に…"
43,光電気工事株式会社 | 『年休120日～×最高の仲間×新社屋勤務』★年収700万も目指せる,月給20万円〜50万円（一律手当含む） ※上記月給は、経験、能力、年齢に応じて決定します。 ※経験者は前…
44,株式会社ユタカホーム | ★残業1日1H以下★転勤ナシ★定着率97％★未経験の先輩多数,◆月給：35万円以上+インセンティブ ◎経験・スキルに応じて優遇します。 ◎案件数に応じてインセンティ…
45,株式会社エコ・エー | 【環境職人】★寮完備（月3万円）★残業月10ｈ・直行直帰OK,日給1万3000円〜1万7000円 【収入例】月収29万9000円（未経験１ヶ月目） 未経験でも日給1万3000円×23日…
46,株式会社京進 | 東証二部上場,月給20万円以上 ※経験や能力を考慮の上、決定します。 ・・・独立後・・・ 【年間モデル収益】 年間…
47,アップワン株式会社 | 【IT × 課題解決】コロナ禍でも成長を続けるベンチャー企業,月給25万円〜＋インセンティブ ※研修期間あり（1〜6ヶ月） └期間中の給与は、【月給23万円＋インセンテ…
48,株式会社サンゲル | 注目を集めるエコ商材を扱うスタートアップ企業｜残業少なめ,月給23万円(一律手当含む)〜+ 歩合給 + 各種手当 ★待遇条件の詳細については、面接でご相談ください！ …
49,株式会社エス・ビルド | ★未経験可 ★新規営業一切ナシ ★大手企業との取引多数 etc,"【東京】月給251,666円〜+賞与年2回+インセンティブ 【大阪】月給231,666円〜+賞与年2回+インセンティブ …"
